"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"Habitat",0.00546884044823218,0.0395203002220558,0.0108114997206228,-0.012237376512283,-0.0464052655243027,-0.0466867159747882,-0.0316935222889701,-0.0356722298827413,-0.0396259447632551,0.0302068210492096,-0.0192713379252542,0.0495458499714749,-0.00511118406943353,0.0082596455259309
"LYTHA",-0.00478659537427775,0.0347913745858394,0.0936663082428241,-0.0156166864632191,-0.0274321142917769,0.066902135269052,0.125526531245878,0.0881388481725337,0.104812231357339,-0.102538378800289,-0.0178294630604566,-0.0491680217094194,-0.0501531869350233,-0.000416490651634284
"m",-0.0128436618709968,0.0338957915879392,-0.0131793816774309,-0.0455387312268824,0.0343229396279558,-0.0978743275014563,0.000717938597861511,0.10005531542578,0.0664451574253858,0.0214580220626552,-0.0235648789797655,-0.0138073910676291,0.00378079325872296,0.0278628711908855
"N",-0.0178422224221002,-0.0052422562611287,0.0535826081093092,0.0241343839549964,0.00693809520147387,0.0391625716912277,0.0153597885269863,-0.0156685111390281,0.0217359465815718,-0.0623809295267218,-0.0163405593782773,-0.0180483562005289,-0.0272727538828636,-0.00403491362935696
"OTU",0.0145215544592185,0.0401544441663594,-0.0788833118711749,-0.00339462991662061,0.0530051817905799,0.0253258322936141,0.0308716942260958,-0.00587760103317735,-0.000677049031435661,0.0393191110894604,-0.0555799962277553,-0.00534807861817985,0.0130314846100163,-0.00436628092916716
"P",-0.00758924264446148,0.0174738672048155,0.0476829347755607,0.037291960478884,0.0692429185016645,-0.0387183409824731,0.0534794723116281,-0.0180378900112131,-0.0404289460525935,-0.019049794264598,-0.0695453199186558,-0.00405825570549766,-0.0317010439926831,0.00151638808967785
"pH",0.0205919125667566,-0.00778787363735262,0.0129658189659727,-0.00508687534217419,-0.0329814840809025,-0.0161707137363572,0.00242064249284813,0.0455446745249455,0.0478761879793681,0.0155282810435511,-0.00766754666322929,-0.061055576523129,-0.0306640547254189,0.0122729046184393
"S",0.0138046626482777,0.0182914671833094,0.0283388426484267,-0.0173352609434533,-0.0250601161103072,-0.054633920638068,-0.00269979889500515,0.0223652570729494,-0.0222076566694972,0.0226696690219883,0.0627054017307714,0.0295922671205153,-0.00774040125890083,-0.00316638676166745
"tobimushi",0.00895775491198822,0.0225876408067425,0.0432097619620624,0.0210212222321751,0.00740726925966788,-0.0263767381435055,0.00451257080701692,-0.00769933342110684,-0.00244322026592327,-0.0153787656723127,-0.101446548846469,-0.0610779602264692,0.0657015804839215,0.000837779781472415
"あたり",0.023983204030713,-0.011891941147704,0.03472931823544,-0.0116307798168352,-0.0179899693689993,0.0198805525419348,-0.0134513762898423,0.00743251355673354,-0.0206659418406431,0.0268373255680484,0.0984402866047931,-0.0155458422444178,-0.0267542403641558,0.00114313316716941
